Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Is Imputed Date,Imputed Value Count,Has Imputed Values,Anomaly_Transfer_Exceeds_CBP,Anomaly_Discharge_Exceeds_HHS,Anomaly_Negative_Count,Anomaly_Any,Data Quality Flag
2023-01-12,33,53,34,6566,436,False,0,False,False,False,False,False,OK
2023-01-13,0,53,0,6622,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-14,0,52,0,6677,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-15,0,52,0,6733,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-16,0,51,0,6788,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-17,0,51,0,6844,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-18,0,51,0,6900,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-19,0,50,0,6955,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-20,0,50,0,7011,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-21,0,49,0,7066,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-22,32,49,39,7122,227,False,0,False,False,False,False,False,OK
2023-01-23,32,50,39,7280,181,False,0,False,False,False,False,False,OK
2023-01-24,47,42,47,7433,175,False,0,False,True,False,False,True,Transfer > CBP custody
2023-01-25,20,22,41,7538,180,False,0,False,True,False,False,True,Transfer > CBP custody
2023-01-26,0,28,0,7522,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-27,0,34,0,7505,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-28,0,39,0,7488,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-01-29,23,45,11,7472,303,False,0,False,False,False,False,False,OK
2023-01-30,34,54,29,7743,196,False,0,False,False,False,False,False,OK
2023-01-31,26,36,36,7803,158,False,0,False,False,False,False,False,OK
2023-02-01,25,32,27,7903,231,False,0,False,False,False,False,False,OK
2023-02-02,15,13,23,7879,298,False,0,False,True,False,False,True,Transfer > CBP custody
2023-02-03,0,15,0,7781,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-04,0,16,0,7684,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-05,16,18,15,7586,342,False,0,False,False,False,False,False,OK
2023-02-06,11,22,12,7720,196,False,0,False,False,False,False,False,OK
2023-02-07,16,20,20,7855,200,False,0,False,False,False,False,False,OK
2023-02-08,93,196,169,7915,317,False,0,False,False,False,False,False,OK
2023-02-09,124,234,161,7908,353,False,0,False,False,False,False,False,OK
2023-02-10,0,224,0,7750,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-11,0,213,0,7592,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-12,92,203,173,7434,317,False,0,False,False,False,False,False,OK
2023-02-13,186,259,172,7483,244,False,0,False,False,False,False,False,OK
2023-02-14,154,225,220,7794,223,False,0,False,False,False,False,False,OK
2023-02-15,91,199,172,7869,290,False,0,False,False,False,False,False,OK
2023-02-16,81,213,153,7793,361,False,0,False,False,False,False,False,OK
2023-02-17,0,231,0,7799,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-18,0,249,0,7805,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-19,0,267,0,7811,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-20,209,285,184,7817,209,False,0,False,False,False,False,False,OK
2023-02-21,184,314,217,7967,213,False,0,False,False,False,False,False,OK
2023-02-22,107,215,230,7978,232,False,0,False,True,False,False,True,Transfer > CBP custody
2023-02-23,101,162,178,7914,386,False,0,False,True,False,False,True,Transfer > CBP custody
2023-02-24,0,171,0,7812,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-25,0,181,0,7711,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-02-26,99,190,176,7609,323,False,0,False,False,False,False,False,OK
2023-02-27,167,239,166,7800,248,False,0,False,False,False,False,False,OK
2023-02-28,115,216,169,7896,200,False,0,False,False,False,False,False,OK
2023-03-01,84,158,193,7930,307,False,0,False,True,False,False,True,Transfer > CBP custody
2023-03-02,130,227,192,7870,335,False,0,False,False,False,False,False,OK
2023-03-03,0,224,0,7868,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-04,0,222,0,7866,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-05,0,219,0,7863,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-06,0,217,0,7861,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-07,88,214,160,7859,259,False,0,False,False,False,False,False,OK
2023-03-08,113,208,159,7885,291,False,0,False,False,False,False,False,OK
2023-03-09,174,285,150,7786,340,False,0,False,False,False,False,False,OK
2023-03-10,0,271,0,7731,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-11,0,258,0,7676,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-12,0,244,0,7622,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-13,104,230,206,7567,249,False,0,False,False,False,False,False,OK
2023-03-14,147,276,214,7810,181,False,0,False,False,False,False,False,OK
2023-03-15,108,220,213,7915,286,False,0,False,False,False,False,False,OK
2023-03-16,180,280,146,7989,308,False,0,False,False,False,False,False,OK
2023-03-17,0,285,0,7954,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-18,0,289,0,7920,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-19,134,294,186,7885,306,False,0,False,False,False,False,False,OK
2023-03-20,202,313,158,7931,279,False,0,False,False,False,False,False,OK
2023-03-21,110,272,193,8050,221,False,0,False,False,False,False,False,OK
2023-03-22,166,277,229,8097,246,False,0,False,False,False,False,False,OK
2023-03-23,136,276,178,8102,331,False,0,False,False,False,False,False,OK
2023-03-24,0,266,0,8017,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-25,0,256,0,7932,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-03-26,87,246,173,7847,352,False,0,False,False,False,False,False,OK
2023-03-27,84,171,157,7994,235,False,0,False,False,False,False,False,OK
2023-03-28,167,209,157,8079,223,False,0,False,False,False,False,False,OK
2023-03-29,109,245,159,8208,267,False,0,False,False,False,False,False,OK
2023-03-30,156,256,176,8158,359,False,0,False,False,False,False,False,OK
2023-03-31,0,248,0,8099,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-01,0,240,0,8040,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-02,125,232,192,7981,304,False,0,False,False,False,False,False,OK
2023-04-03,118,139,168,8054,284,False,0,False,True,False,False,True,Transfer > CBP custody
2023-04-04,142,235,139,8068,259,False,0,False,False,False,False,False,OK
2023-04-05,148,245,175,8175,260,False,0,False,False,False,False,False,OK
2023-04-06,119,219,210,8178,284,False,0,False,False,False,False,False,OK
2023-04-07,0,216,0,8085,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-08,0,213,0,7993,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-09,105,210,149,7900,329,False,0,False,False,False,False,False,OK
2023-04-10,143,203,163,7826,265,False,0,False,False,False,False,False,OK
2023-04-11,119,209,152,7922,187,False,0,False,False,False,False,False,OK
2023-04-12,155,212,181,7876,283,False,0,False,False,False,False,False,OK
2023-04-13,109,214,173,7795,370,False,0,False,False,False,False,False,OK
2023-04-14,0,237,0,7657,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-15,0,260,0,7518,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-16,191,283,192,7380,272,False,0,False,False,False,False,False,OK
2023-04-17,170,297,196,7344,248,False,0,False,False,False,False,False,OK
2023-04-18,152,272,214,7376,234,False,0,False,False,False,False,False,OK
2023-04-19,239,367,224,7356,229,False,0,False,False,False,False,False,OK
2023-04-20,113,280,237,7490,320,False,0,False,False,False,False,False,OK
2023-04-21,0,289,0,7505,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-22,0,297,0,7519,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-23,196,306,187,7534,266,False,0,False,False,False,False,False,OK
2023-04-24,236,330,222,7796,213,False,0,False,False,False,False,False,OK
2023-04-25,81,230,242,8017,202,False,0,False,True,False,False,True,Transfer > CBP custody
2023-04-26,118,245,160,8117,256,False,0,False,False,False,False,False,OK
2023-04-27,218,283,208,8159,310,False,0,False,False,False,False,False,OK
2023-04-28,0,270,0,8223,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-29,0,256,0,8288,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-04-30,132,243,183,8352,293,False,0,False,False,False,False,False,OK
2023-05-01,224,315,152,8492,237,False,0,False,False,False,False,False,OK
2023-05-02,167,326,213,8654,245,False,0,False,False,False,False,False,OK
2023-05-03,209,353,232,8704,267,False,0,False,False,False,False,False,OK
2023-05-04,153,253,286,8790,332,False,0,False,True,False,False,True,Transfer > CBP custody
2023-05-05,0,281,0,8688,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-05-06,0,309,0,8587,0,True,5,True,False,False,False,False,Imputed date; Imputed values
2023-05-07,180,337,219,8485,375,False,0,False,False,False,False,False,OK
2023-05-08,133,287,189,8590,261,False,0,False,False,False,False,False,OK
2023-05-09,187,310,247,8606,250,False,0,False,False,False,False,False,OK
2023-05-10,168,285,210,8681,304,False,0,False,False,False,False,False,OK
2023-05-11,269,412,204,8672,392,False,0,False,False,False,False,False,OK
