Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Is Imputed Date,Imputed Value Count,Has Imputed Values,Anomaly_Transfer_Exceeds_CBP,Anomaly_Discharge_Exceeds_HHS,Anomaly_Negative_Count,Anomaly_Any,Data Quality Flag,Total System Load,Net Daily Intake,Care Load Growth Rate,7-Day Rolling Average,14-Day Rolling Average,Discharge Offset Ratio,Backlog Accumulation Rate
2023-01-12,33,53,34,6566,436,False,0,False,False,False,False,False,OK,6619,-402,,6619.0,6619.0,12.457142857142857,0
2023-01-13,0,53,0,6622,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6675,0,0.8460492521529028,6647.0,6647.0,0.0,0
2023-01-14,0,52,0,6677,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6729,0,0.8089887640449378,6674.333333333333,6674.333333333333,0.0,0
2023-01-15,0,52,0,6733,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6785,0,0.8322187546440762,6702.0,6702.0,0.0,0
2023-01-16,0,51,0,6788,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6839,0,0.7958732498157595,6729.4,6729.4,0.0,0
2023-01-17,0,51,0,6844,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6895,0,0.8188331627430934,6757.0,6757.0,0.0,0
2023-01-18,0,51,0,6900,0,True,5,True,False,False,False,False,Imputed date; Imputed values,6951,0,0.8121827411167404,6784.714285714285,6784.714285714285,0.0,0
2023-01-19,0,50,0,6955,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7005,0,0.7768666378938249,6839.857142857143,6812.25,0.0,0
2023-01-20,0,50,0,7011,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7061,0,0.7994289793004983,6895.0,6839.888888888889,0.0,0
2023-01-21,0,49,0,7066,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7115,0,0.7647641977057029,6950.142857142857,6867.4,0.0,0
2023-01-22,32,49,39,7122,227,False,0,False,False,False,False,False,OK,7171,-188,0.7870695713281695,7005.285714285715,6895.0,5.675,0
2023-01-23,32,50,39,7280,181,False,0,False,False,False,False,False,OK,7330,-142,2.2172639799191263,7075.428571428572,6931.25,4.525,0
2023-01-24,47,42,47,7433,175,False,0,False,True,False,False,True,Transfer > CBP custody,7475,-128,1.9781718963165051,7158.285714285715,6973.076923076923,3.6458333333333335,0
2023-01-25,20,22,41,7538,180,False,0,False,True,False,False,True,Transfer > CBP custody,7560,-139,1.1371237458194017,7245.285714285715,7015.0,4.285714285714286,0
2023-01-26,0,28,0,7522,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7550,0,-0.1322751322751281,7323.142857142857,7081.5,0.0,0
2023-01-27,0,34,0,7505,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7539,0,-0.14569536423840734,7391.428571428572,7143.214285714285,0.0,0
2023-01-28,0,39,0,7488,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7527,0,-0.1591723040191062,7450.285714285715,7200.214285714285,0.0,0
2023-01-29,23,45,11,7472,303,False,0,False,False,False,False,False,OK,7517,-292,-0.13285505513485063,7499.714285714285,7252.5,25.25,0
2023-01-30,34,54,29,7743,196,False,0,False,False,False,False,False,OK,7797,-167,3.7248902487694524,7566.428571428572,7320.928571428572,6.533333333333333,0
2023-01-31,26,36,36,7803,158,False,0,False,False,False,False,False,OK,7839,-122,0.538668718737978,7618.428571428572,7388.357142857143,4.27027027027027,0
2023-02-01,25,32,27,7903,231,False,0,False,False,False,False,False,OK,7935,-204,1.2246460007653948,7672.0,7458.642857142857,8.25,0
2023-02-02,15,13,23,7879,298,False,0,False,True,False,False,True,Transfer > CBP custody,7892,-275,-0.5419029615627013,7720.857142857143,7522.0,12.416666666666666,0
2023-02-03,0,15,0,7781,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7796,0,-1.2164216928535199,7757.571428571428,7574.5,0.0,0
2023-02-04,0,16,0,7684,0,True,5,True,False,False,False,False,Imputed date; Imputed values,7700,0,-1.2314007183170883,7782.285714285715,7616.285714285715,0.0,0
2023-02-05,16,18,15,7586,342,False,0,False,False,False,False,False,OK,7604,-327,-1.2467532467532516,7794.714285714285,7647.214285714285,21.375,0
2023-02-06,11,22,12,7720,196,False,0,False,False,False,False,False,OK,7742,-184,1.8148342977380327,7786.857142857143,7676.642857142857,15.076923076923077,0
