Date,Children apprehended and placed in CBP custody,Children transferred out of CBP custody,Children discharged from HHS Care,Children in CBP custody,Children in HHS Care
2023-01-01,335,352,376,663,7776
2023-01-02,305,306,297,662,7785
2023-01-03,313,330,350,645,7765
2023-01-04,337,343,320,639,7788
2023-01-05,319,333,331,625,7790
2023-01-06,322,342,338,605,7794
2023-01-07,328,331,340,602,7785
2023-01-08,305,343,332,564,7796
2023-01-09,330,330,359,564,7767
2023-01-10,319,287,303,596,7751
2023-01-11,332,296,309,632,7738
2023-01-12,342,339,343,635,7734
2023-01-13,324,334,334,625,7734
2023-01-14,334,295,285,664,7744
2023-01-15,329,321,358,672,7707
2023-01-16,354,316,305,710,7718
2023-01-17,356,375,394,691,7699
2023-01-18,324,297,265,718,7731
2023-01-19,192,200,216,710,7715
2023-01-20,217,234,224,693,7725
2023-01-21,234,228,216,699,7737
2023-01-22,242,234,233,707,7738
2023-01-23,227,245,241,689,7742
2023-01-24,240,204,165,725,7781
2023-01-25,266,263,296,728,7748
2023-01-26,241,226,219,743,7755
2023-01-27,197,223,177,717,7801
2023-01-28,215,206,168,726,7839
2023-01-29,249,260,262,715,7837
2023-01-30,254,236,242,733,7831
2023-01-31,246,285,255,694,7861
2023-02-01,250,266,262,678,7865
2023-02-02,272,279,302,671,7842
2023-02-03,225,233,208,663,7867
2023-02-04,228,208,199,683,7876
2023-02-05,239,263,269,659,7870
2023-02-06,235,196,185,698,7881
2023-02-07,248,289,294,657,7876
2023-02-08,228,199,176,686,7899
2023-02-09,240,223,247,703,7875
2023-02-10,222,233,231,692,7877
2023-02-11,216,190,159,718,7908
2023-02-12,269,277,277,710,7908
2023-02-13,261,269,261,702,7916
2023-02-14,258,294,302,666,7908
2023-02-15,287,322,370,631,7860
2023-02-16,224,250,223,605,7887
2023-02-17,225,207,209,623,7885
2023-02-18,219,243,247,599,7881
2023-02-19,259,248,228,610,7901
2023-02-20,268,252,278,626,7875
2023-02-21,279,262,255,643,7882
2023-02-22,259,284,282,618,7884
2023-02-23,274,272,279,620,7877
2023-02-24,215,213,280,622,7810
2023-02-25,246,233,195,635,7848
2023-02-26,269,290,272,614,7866
2023-02-27,283,272,246,625,7892
2023-02-28,292,274,254,643,7912
2023-03-01,270,233,291,680,7854
2023-03-02,236,276,353,640,7777
2023-03-03,211,214,258,637,7733
2023-03-04,236,248,258,625,7723
2023-03-05,247,210,202,662,7731
2023-03-06,235,221,232,676,7720
2023-03-07,283,290,289,669,7721
2023-03-08,287,293,288,663,7726
2023-03-09,240,246,224,657,7748
2023-03-10,238,211,241,684,7718
2023-03-11,223,233,202,674,7749
2023-03-12,275,275,266,674,7758
2023-03-13,251,254,291,671,7721
2023-03-14,274,277,283,668,7715
2023-03-15,247,253,296,662,7672
2023-03-16,248,239,234,671,7677
2023-03-17,254,282,294,643,7665
2023-03-18,248,253,295,638,7623
2023-03-19,269,257,254,650,7626
2023-03-20,264,234,250,680,7610
2023-03-21,298,324,339,654,7595
2023-03-22,280,242,235,692,7602
2023-03-23,260,246,215,706,7633
2023-03-24,235,223,227,718,7629
2023-03-25,253,207,211,764,7625
2023-03-26,276,322,264,718,7683
2023-03-27,306,276,311,748,7648
2023-03-28,286,282,299,752,7631
2023-03-29,262,276,279,738,7628
2023-03-30,250,254,260,734,7622
2023-03-31,278,282,316,730,7588
2023-04-01,253,263,280,720,7571
2023-04-02,241,241,183,720,7629
2023-04-03,280,287,317,713,7599
2023-04-04,296,265,239,744,7625
2023-04-05,260,274,233,730,7666
2023-04-06,245,266,266,709,7666
2023-04-07,222,237,215,694,7688
2023-04-08,231,251,238,674,7701
2023-04-09,270,267,286,677,7682
2023-04-10,280,247,183,710,7746
2023-04-11,308,336,369,682,7713
2023-04-12,227,257,257,652,7713
2023-04-13,274,238,213,688,7738
2023-04-14,235,274,237,649,7775
2023-04-15,215,222,218,642,7779
2023-04-16,272,254,240,660,7793
2023-04-17,289,294,303,655,7784
2023-04-18,313,278,305,690,7757
2023-04-19,275,285,281,680,7761
2023-04-20,249,295,296,634,7760
2023-04-21,234,210,218,658,7752
2023-04-22,254,233,190,679,7795
2023-04-23,264,254,246,689,7803
2023-04-24,271,251,260,709,7794
2023-04-25,285,293,309,701,7778
2023-04-26,281,258,258,724,7778
2023-04-27,245,282,284,687,7776
2023-04-28,270,267,246,690,7797
2023-04-29,237,253,281,674,7769
2023-04-30,224,233,224,665,7778
2023-05-01,261,252,200,674,7830
