Date,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Anomaly_Transfer_Exceeds_CBP,Anomaly_Discharge_Exceeds_HHS,Data Quality Flag
2023-01-24,42,47,7433,175,True,False,Transfer > CBP custody
2023-01-25,22,41,7538,180,True,False,Transfer > CBP custody
2023-02-02,13,23,7879,298,True,False,Transfer > CBP custody
2023-02-22,215,230,7978,232,True,False,Transfer > CBP custody
2023-02-23,162,178,7914,386,True,False,Transfer > CBP custody
2023-03-01,158,193,7930,307,True,False,Transfer > CBP custody
2023-04-03,139,168,8054,284,True,False,Transfer > CBP custody
2023-04-25,230,242,8017,202,True,False,Transfer > CBP custody
2023-05-04,253,286,8790,332,True,False,Transfer > CBP custody
2023-05-17,162,193,8569,307,True,False,Transfer > CBP custody
2023-05-18,122,152,8474,351,True,False,Transfer > CBP custody
2023-05-23,66,94,7788,246,True,False,Transfer > CBP custody
2023-05-29,60,71,6996,207,True,False,Transfer > CBP custody
2023-05-31,80,82,7053,210,True,False,Transfer > CBP custody
2023-06-11,152,168,6007,238,True,False,Transfer > CBP custody
2023-06-12,118,136,6021,177,True,False,Transfer > CBP custody
2023-06-13,64,117,6061,146,True,False,Transfer > CBP custody
2023-06-15,75,97,6038,272,True,False,Transfer > CBP custody
2023-07-05,215,230,6193,167,True,False,Transfer > CBP custody
2023-07-06,162,178,6239,205,True,False,Transfer > CBP custody
2023-07-12,158,193,6521,210,True,False,Transfer > CBP custody
2023-08-09,139,168,8888,251,True,False,Transfer > CBP custody
2023-09-06,230,242,10356,291,True,False,Transfer > CBP custody
2023-09-17,253,286,10799,427,True,False,Transfer > CBP custody
2023-09-28,162,193,10984,447,True,False,Transfer > CBP custody
2023-10-01,122,152,10598,493,True,False,Transfer > CBP custody
2023-10-04,66,94,10963,330,True,False,Transfer > CBP custody
2023-10-10,60,71,10910,257,True,False,Transfer > CBP custody
2023-10-12,80,82,10992,398,True,False,Transfer > CBP custody
2023-10-23,152,168,9436,327,True,False,Transfer > CBP custody
2023-10-24,118,136,9396,300,True,False,Transfer > CBP custody
2023-10-25,64,117,9351,293,True,False,Transfer > CBP custody
2023-10-29,75,97,8925,418,True,False,Transfer > CBP custody
2023-11-02,208,256,9442,330,True,False,Transfer > CBP custody
2023-11-12,160,233,9477,313,True,False,Transfer > CBP custody
2023-11-14,181,182,9665,247,True,False,Transfer > CBP custody
2023-11-15,157,201,9762,316,True,False,Transfer > CBP custody
2023-11-26,196,205,9845,312,True,False,Transfer > CBP custody
2023-12-04,208,256,10635,273,True,False,Transfer > CBP custody
2023-12-11,160,233,10998,304,True,False,Transfer > CBP custody
2023-12-13,181,182,11192,335,True,False,Transfer > CBP custody
2023-12-14,157,201,11242,396,True,False,Transfer > CBP custody
2023-12-25,196,205,11144,347,True,False,Transfer > CBP custody
2024-01-04,152,168,10558,362,True,False,Transfer > CBP custody
2024-01-07,118,136,9670,367,True,False,Transfer > CBP custody
2024-01-08,64,117,9670,367,True,False,Transfer > CBP custody
2024-01-10,75,97,9144,349,True,False,Transfer > CBP custody
2024-01-24,196,205,8212,243,True,False,Transfer > CBP custody
2024-01-30,198,208,8182,187,True,False,Transfer > CBP custody
2024-02-12,430,440,8092,234,True,False,Transfer > CBP custody
2024-03-19,202,256,8390,197,True,False,Transfer > CBP custody
2024-04-28,349,365,7298,250,True,False,Transfer > CBP custody
2024-05-15,285,341,7589,265,True,False,Transfer > CBP custody
2024-05-23,272,314,7494,227,True,False,Transfer > CBP custody
2024-06-03,244,257,7596,224,True,False,Transfer > CBP custody
2024-06-12,266,274,7548,212,True,False,Transfer > CBP custody
2024-06-27,208,256,7248,268,True,False,Transfer > CBP custody
2024-07-07,160,233,6599,213,True,False,Transfer > CBP custody
2024-07-09,181,182,6651,130,True,False,Transfer > CBP custody
2024-07-10,157,201,6649,177,True,False,Transfer > CBP custody
2024-07-21,196,205,6058,262,True,False,Transfer > CBP custody
2024-07-25,198,208,5954,194,True,False,Transfer > CBP custody
2024-07-29,210,219,5819,163,True,False,Transfer > CBP custody
2024-07-30,203,208,5930,92,True,False,Transfer > CBP custody
2024-09-13,200,212,6326,279,True,False,Transfer > CBP custody
2024-09-18,213,217,6245,149,True,False,Transfer > CBP custody
2024-10-02,215,230,6091,173,True,False,Transfer > CBP custody
2024-10-03,162,178,6118,193,True,False,Transfer > CBP custody
2024-10-10,158,193,6075,159,True,False,Transfer > CBP custody
2024-11-11,139,168,5963,145,True,False,Transfer > CBP custody
2024-12-03,230,242,6192,107,True,False,Transfer > CBP custody
2024-12-12,253,286,6481,194,True,False,Transfer > CBP custody
2024-12-25,162,193,6689,107,True,False,Transfer > CBP custody
2024-12-26,122,152,6707,135,True,False,Transfer > CBP custody
2025-01-01,66,94,6405,144,True,False,Transfer > CBP custody
2025-01-06,60,71,5769,190,True,False,Transfer > CBP custody
2025-01-08,80,82,5605,184,True,False,Transfer > CBP custody
2025-01-19,152,168,4628,176,True,False,Transfer > CBP custody
2025-01-20,118,136,4638,127,True,False,Transfer > CBP custody
2025-01-21,64,117,4728,54,True,False,Transfer > CBP custody
2025-01-23,75,97,4621,174,True,False,Transfer > CBP custody
2025-01-30,42,47,3923,159,True,False,Transfer > CBP custody
2025-02-02,22,41,3483,168,True,False,Transfer > CBP custody
2025-02-09,13,23,2878,99,True,False,Transfer > CBP custody
2025-02-13,10,23,2703,72,True,False,Transfer > CBP custody
2025-02-27,15,17,2391,37,True,False,Transfer > CBP custody
