Episode Start,Episode End,Duration (Days),Cumulative Net Intake,Peak Daily Pressure,Average Daily Pressure,Elevated,Status
2024-04-21,2024-04-25,5,582,173,116.4,True,Closed
2024-04-28,2024-05-02,5,446,115,89.2,True,Closed
2024-12-01,2024-12-05,5,383,135,76.6,True,Closed
2024-08-18,2024-08-22,5,239,133,47.8,True,Closed
2025-03-23,2025-03-27,5,36,13,7.2,True,Closed
2024-02-05,2024-02-08,4,399,145,99.75,True,Closed
2024-05-27,2024-05-30,4,339,149,84.75,True,Closed
2024-03-04,2024-03-07,4,310,131,77.5,True,Closed
2024-09-02,2024-09-05,4,293,105,73.25,True,Closed
2024-11-25,2024-11-28,4,276,102,69.0,True,Closed
2024-07-29,2024-08-01,4,224,116,56.0,True,Closed
2024-05-20,2024-05-23,4,207,87,51.75,True,Closed
2024-10-14,2024-10-17,4,173,54,43.25,True,Closed
2024-10-20,2024-10-23,4,163,59,40.75,True,Closed
2024-06-17,2024-06-20,4,143,48,35.75,True,Closed
2024-05-12,2024-05-15,4,136,76,34.0,True,Closed
2024-10-07,2024-10-10,4,132,43,33.0,True,Closed
2024-05-06,2024-05-09,4,116,83,29.0,True,Closed
2024-11-04,2024-11-07,4,112,39,28.0,True,Closed
2024-07-07,2024-07-10,4,102,52,25.5,True,Closed
2024-11-11,2024-11-14,4,86,38,21.5,True,Closed
2025-04-07,2025-04-10,4,23,11,5.75,True,Closed
2025-05-11,2025-05-14,4,20,9,5.0,True,Closed
2024-02-12,2024-02-14,3,437,206,145.66666666666666,True,Closed
2024-02-19,2024-02-21,3,321,153,107.0,True,Closed
2024-12-10,2024-12-12,3,236,92,78.66666666666667,True,Closed
2024-12-16,2024-12-18,3,212,96,70.66666666666667,True,Closed
2024-08-27,2024-08-29,3,188,125,62.666666666666664,True,Closed
2024-09-30,2024-10-02,3,183,80,61.0,True,Closed
2024-02-27,2024-02-29,3,172,100,57.333333333333336,True,Closed
2024-12-24,2024-12-26,3,159,86,53.0,True,Closed
2024-10-28,2024-10-30,3,158,103,52.666666666666664,True,Closed
2024-06-10,2024-06-12,3,147,68,49.0,True,Closed
2024-08-06,2024-08-08,3,129,57,43.0,True,Closed
2024-09-09,2024-09-11,3,94,49,31.333333333333332,True,Closed
2024-09-23,2024-09-25,3,88,51,29.333333333333332,True,Closed
2024-08-12,2024-08-14,3,86,66,28.666666666666668,True,Closed
2024-11-18,2024-11-20,3,64,33,21.333333333333332,True,Closed
2025-10-21,2025-10-23,3,17,8,5.666666666666667,True,Closed
2025-12-15,2025-12-17,3,9,6,3.0,True,Closed
2023-07-04,2023-07-05,2,156,93,78.0,False,Closed
2024-06-05,2024-06-06,2,137,93,68.5,False,Closed
2024-03-11,2024-03-12,2,114,77,57.0,False,Closed
2024-04-16,2024-04-17,2,89,47,44.5,False,Closed
2025-01-20,2025-01-21,2,72,63,36.0,False,Closed
2024-04-02,2024-04-03,2,70,43,35.0,False,Closed
2023-04-24,2023-04-25,2,49,40,24.5,False,Closed
2024-06-02,2024-06-03,2,49,33,24.5,False,Closed
2023-07-10,2023-07-11,2,29,26,14.5,False,Closed
2025-11-12,2025-11-13,2,24,13,12.0,False,Closed
2025-04-02,2025-04-03,2,23,13,11.5,False,Closed
2025-05-18,2025-05-19,2,16,11,8.0,False,Closed
2025-04-27,2025-04-28,2,12,8,6.0,False,Closed
2025-09-21,2025-09-22,2,12,8,6.0,False,Closed
2025-05-07,2025-05-08,2,10,5,5.0,False,Closed
2025-03-19,2025-03-20,2,9,5,4.5,False,Closed
2025-10-13,2025-10-14,2,9,8,4.5,False,Closed
2025-05-04,2025-05-05,2,8,5,4.0,False,Closed
2025-06-08,2025-06-09,2,7,5,3.5,False,Closed
2025-03-30,2025-03-31,2,6,3,3.0,False,Closed
2025-12-07,2025-12-08,2,6,5,3.0,False,Closed
2024-04-09,2024-04-09,1,87,87,87.0,False,Closed
2024-09-18,2024-09-18,1,68,68,68.0,False,Closed
2023-06-27,2023-06-27,1,65,65,65.0,False,Closed
2024-03-19,2024-03-19,1,59,59,59.0,False,Closed
2023-07-25,2023-07-25,1,50,50,50.0,False,Closed
2024-02-25,2024-02-25,1,37,37,37.0,False,Closed
2023-03-14,2023-03-14,1,33,33,33.0,False,Closed
2025-09-11,2025-09-11,1,23,23,23.0,False,Closed
2024-01-30,2024-01-30,1,21,21,21.0,False,Closed
2025-11-23,2025-11-23,1,21,21,21.0,False,Closed
2023-06-21,2023-06-21,1,20,20,20.0,False,Closed
2024-07-25,2024-07-25,1,14,14,14.0,False,Closed
2025-09-01,2025-09-01,1,12,12,12.0,False,Closed
2024-12-08,2024-12-08,1,11,11,11.0,False,Closed
2024-06-26,2024-06-26,1,10,10,10.0,False,Closed
2025-10-19,2025-10-19,1,10,10,10.0,False,Closed
2025-11-30,2025-11-30,1,10,10,10.0,False,Closed
2025-09-14,2025-09-14,1,8,8,8.0,False,Closed
2025-04-13,2025-04-13,1,7,7,7.0,False,Closed
2025-10-16,2025-10-16,1,6,6,6.0,False,Closed
2023-08-01,2023-08-01,1,5,5,5.0,False,Closed
2025-04-15,2025-04-15,1,5,5,5.0,False,Closed
2025-08-26,2025-08-26,1,5,5,5.0,False,Closed
2025-09-16,2025-09-16,1,5,5,5.0,False,Closed
2025-09-30,2025-09-30,1,5,5,5.0,False,Closed
2025-10-06,2025-10-06,1,5,5,5.0,False,Closed
2025-10-28,2025-10-28,1,5,5,5.0,False,Closed
2023-02-21,2023-02-21,1,4,4,4.0,False,Closed
2024-07-02,2024-07-02,1,4,4,4.0,False,Closed
2025-05-29,2025-05-29,1,4,4,4.0,False,Closed
2025-06-01,2025-06-01,1,4,4,4.0,False,Closed
2025-03-13,2025-03-13,1,3,3,3.0,False,Closed
2025-03-16,2025-03-16,1,3,3,3.0,False,Closed
2025-09-28,2025-09-28,1,3,3,3.0,False,Closed
2025-11-02,2025-11-02,1,3,3,3.0,False,Closed
2025-11-25,2025-11-25,1,3,3,3.0,False,Closed
2025-02-18,2025-02-18,1,2,2,2.0,False,Closed
2025-04-20,2025-04-20,1,2,2,2.0,False,Closed
2025-05-22,2025-05-22,1,2,2,2.0,False,Closed
2025-09-07,2025-09-07,1,2,2,2.0,False,Closed
2025-10-26,2025-10-26,1,2,2,2.0,False,Closed
2025-10-30,2025-10-30,1,2,2,2.0,False,Closed
2025-09-03,2025-09-03,1,1,1,1.0,False,Closed
2025-10-09,2025-10-09,1,1,1,1.0,False,Closed
2025-11-05,2025-11-05,1,1,1,1.0,False,Closed
2025-11-09,2025-11-09,1,1,1,1.0,False,Closed
2025-11-27,2025-11-27,1,1,1,1.0,False,Closed
2025-12-03,2025-12-03,1,1,1,1.0,False,Closed
