feature,gain_importance,split_importance,gain_importance_percent,rank
momentum_total_load_pct_change_7d,2717.758912563324,68.0,7.888813315237658,1
momentum_total_load_change_7d,1423.2377325920388,45.0,4.131218822876043,2
calendar_doy_cos,1124.8308684006333,117.0,3.2650360158914573,3
calendar_doy_sin,1085.2007207870483,113.0,3.1500019579646583,4
calendar_day_of_month,896.3507533073425,112.0,2.6018289279180173,5
rolling_7d_hhs_discharges_mean,877.588620275259,102.0,2.5473682602695535,6
momentum_total_load_change_1d,715.4423105716705,64.0,2.0767076872903774,7
rolling_30d_total_system_load_slope,704.3757200241089,82.0,2.044584798662428,8
rolling_14d_total_system_load_std,672.5414383411407,81.0,1.9521797276825446,9
rolling_14d_hhs_discharges_mean,653.0204465389252,67.0,1.8955163277966744,10
rolling_14d_total_system_load_slope,621.3823142051697,66.0,1.8036806176937585,11
rolling_30d_cbp_apprehensions_max,603.5485109090805,34.0,1.7519146040664406,12
lag_14d_cbp_active_load,588.0266273021698,57.0,1.7068593780455734,13
rolling_30d_net_daily_intake_max,578.3282835483551,67.0,1.6787080865578805,14
rolling_7d_hhs_discharges_max,556.5454893112183,62.0,1.6154793739496194,15
rolling_7d_cbp_apprehensions_max,533.4437713623047,61.0,1.54842223384871,16
rolling_14d_hhs_discharges_max,532.0826594829559,47.0,1.5444713471575842,17
rolling_30d_net_daily_intake_mean,523.9165488481522,52.0,1.5207676543790427,18
lag_28d_hhs_active_load,490.03885197639465,63.0,1.4224311812886326,19
rolling_30d_cbp_apprehensions_std,481.34326457977295,56.0,1.3971905812776542,20
calendar_day_of_year,452.6478424370289,61.0,1.313896648456904,21
lag_1d_cbp_active_load,451.781232137233,68.0,1.311381146864563,22
momentum_total_load_pct_change_14d,450.00599098205566,52.0,1.306228171007145,23
rolling_30d_cbp_transfers_max,431.6785725951195,45.0,1.2530293454834978,24
lag_28d_cbp_active_load,421.76325219869614,53.0,1.2242482379295623,25
lag_1d_care_load_growth_rate,420.00333857536316,61.0,1.2191397531551265,26
rolling_7d_hhs_discharges_std,418.8282821178436,49.0,1.2157289277925878,27
rolling_30d_total_system_load_std,418.19296061992645,58.0,1.2138847860370197,28
rolling_30d_cbp_apprehensions_mean,417.91293954849243,46.0,1.2130719714982965,29
rolling_7d_cbp_apprehensions_std,413.37153232097626,50.0,1.1998896713168004,30
lag_28d_care_load_growth_rate,410.4551253914833,59.0,1.191424244265239,31
lag_28d_total_system_load,404.4989572763443,51.0,1.1741353309192848,32
rolling_14d_net_daily_intake_max,404.0694183111191,47.0,1.172888512192054,33
momentum_total_load_change_14d,400.3801896572113,38.0,1.1621798227665985,34
rolling_30d_net_daily_intake_std,393.40459966659546,48.0,1.141931843100254,35
rolling_30d_total_system_load_min,351.4708306789398,40.0,1.0202110850084674,36
rolling_30d_cbp_transfers_std,339.379346370697,34.0,0.9851132468702472,37
lag_14d_care_load_growth_rate,337.5478288680315,48.0,0.9797969181865923,38
rolling_30d_total_system_load_max,315.2749614715576,38.0,0.9151456748133884,39
rolling_14d_cbp_apprehensions_mean,312.08061003685,43.0,0.9058734608524,40
ema_30d_total_system_load,294.92141914367676,34.0,0.8560656383222197,41
rolling_30d_hhs_discharges_max,290.00699067115784,29.0,0.8418005728701028,42
lag_7d_cbp_active_load,288.00287997722626,41.0,0.8359832595483018,43
current_total_system_load,282.45988914370537,39.0,0.8198936720239701,44
rolling_30d_total_system_load_mean,281.9985892176628,34.0,0.8185546610535489,45
rolling_7d_cbp_transfers_max,280.2165568470955,35.0,0.8133819723988893,46
rolling_14d_hhs_discharges_std,260.2035596370697,31.0,0.755290433028549,47
rolling_14d_cbp_apprehensions_max,243.8974380493164,30.0,0.7079588067732878,48
rolling_14d_net_daily_intake_std,242.54039978981018,28.0,0.704019744540287,49
rolling_30d_net_daily_intake_min,241.84221076965332,28.0,0.7019931178173261,50
rolling_7d_total_system_load_slope,241.57990884780884,27.0,0.7012317364879912,51
rolling_7d_net_daily_intake_std,239.34659039974213,33.0,0.6947491039671921,52
rolling_14d_cbp_transfers_max,219.60367107391357,28.0,0.6374415171392047,53
lag_1d_net_daily_intake,217.58678078651428,31.0,0.6315871086112598,54
ema_30d_net_daily_intake,206.00457096099854,24.0,0.5979675367393651,55
rolling_7d_cbp_apprehensions_mean,202.56135082244873,30.0,0.5879729339249945,56
rolling_7d_total_system_load_max,198.48664969205856,24.0,0.5761453371560383,57
rolling_7d_net_daily_intake_mean,198.35025799274445,29.0,0.5757494342491751,58
lag_7d_care_load_growth_rate,190.91146850585938,28.0,0.5541569297477217,59
rolling_14d_total_system_load_max,188.60177993774414,20.0,0.5474526183954633,60
rolling_7d_net_daily_intake_min,184.95952916145325,21.0,0.5368802912149269,61
lag_28d_cbp_transfers,181.48419070243835,21.0,0.5267924588528665,62
rolling_30d_cbp_transfers_mean,181.300190448761,18.0,0.5262583630416057,63
rolling_14d_net_daily_intake_min,180.0252890586853,23.0,0.5225577187294292,64
lag_14d_hhs_active_load,179.6831192970276,22.0,0.5215645057702669,65
rolling_7d_total_system_load_std,178.75530016422272,33.0,0.5188713338722121,66
lag_14d_total_system_load,177.49482989311218,21.0,0.5152125786337575,67
rolling_14d_cbp_transfers_mean,174.64211946725845,23.0,0.5069320428261253,68
rolling_30d_hhs_discharges_mean,172.58247017860413,22.0,0.5009535181461229,69
