dimension,regime,rows,mae,mean_residual,rmse
day_of_week,Friday,31,22.997693195952163,-17.927866509202154,30.851661696436008
day_of_week,Monday,30,29.264568104528546,-17.44546796900123,36.33646952632877
day_of_week,Saturday,31,25.641451569468995,-18.307374932163707,34.306912429981054
day_of_week,Sunday,31,30.05359968790488,-18.57986888163513,39.170279469334425
day_of_week,Thursday,31,27.05137258393301,-16.950746814078947,32.52317276419042
day_of_week,Tuesday,30,29.751351320881206,-18.005134224673572,38.2830306556618
day_of_week,Wednesday,30,30.778697341656002,-19.73079954407314,35.994413780814234
month,August,31,18.211200239408022,-8.983114984186011,23.101454960437255
month,December,14,23.471305257710615,-23.471305257710615,28.23725140522705
month,July,31,36.09089818370779,-20.206545160466394,46.20102825881342
month,June,30,44.55557603294603,-39.53189574003049,51.38762973546833
month,May,17,30.051771243042634,-25.72770951513985,36.4510479422369
month,November,30,19.884675195279517,-6.5126414708748905,25.5615849224618
month,October,31,22.52828255140918,-20.279447148529574,28.143329477694746
month,September,30,27.249279979009618,-6.6445281866929085,31.065262606190327
forecast_load_band,high,72,33.94229277033614,-30.377341327748166,41.48720393765361
forecast_load_band,low,72,21.064428645749402,-3.2988757278466716,26.417970630552325
forecast_load_band,medium,70,28.734602702983484,-20.792799933986974,36.76515763869456
net_intake_magnitude,low,180,26.51153725611541,-17.720319326531357,33.69545887481357
net_intake_magnitude,moderate,34,35.28910073724204,-20.309592488419774,43.529323880367016
backlog_state,False,172,28.707194819279156,-18.957239582667516,36.5538806672655
backlog_state,True,42,24.625443386928293,-14.750914646740554,30.460104688107467
capacity_utilization_band,normal,214,27.906103416668238,-18.131699174681852,35.440642758534764
anomaly_status,normal,214,27.906103416668238,-18.131699174681852,35.440642758534764
imputation_status,imputed,76,27.07320072866174,-21.972532918327584,35.181998584009236
imputation_status,observed,138,28.364803447744283,-16.016457402818986,35.58228168053165
pressure_regime,high_pressure,42,24.625443386928293,-14.750914646740554,30.460104688107467
pressure_regime,normal,172,28.707194819279156,-18.957239582667516,36.5538806672655
