feature,mean_mae_increase,std_mae_increase,folds,interpretation_note
calendar_doy_cos,12.325854525872753,23.11854667515116,5,Correlated features can divide or mask permutation importance.
load_momentum_7,10.917898842079783,22.517811226175525,5,Correlated features can divide or mask permutation importance.
load_momentum_1,5.7875447910916336,7.52117417150612,5,Correlated features can divide or mask permutation importance.
load_rolling_slope_14,4.183807124214468,8.334533208053521,5,Correlated features can divide or mask permutation importance.
cbp_load_lag_28,2.052834097708049,8.82305163127657,5,Correlated features can divide or mask permutation importance.
load_rolling_std_14,2.0398930225201526,2.3586270844545956,5,Correlated features can divide or mask permutation importance.
cbp_load_lag_14,2.0035099979962894,3.1949453641879915,5,Correlated features can divide or mask permutation importance.
cbp_load_lag_7,1.675210152212611,3.2647294442975823,5,Correlated features can divide or mask permutation importance.
cbp_load_lag_1,1.0372285268242138,3.1988653047561377,5,Correlated features can divide or mask permutation importance.
load_rolling_slope_7,0.9809229371184642,2.1093471367656162,5,Correlated features can divide or mask permutation importance.
transfer_lag_28,0.9105475337206912,2.064107693419968,5,Correlated features can divide or mask permutation importance.
current_total_system_load,0.7745700122769819,1.6864519438160255,5,Correlated features can divide or mask permutation importance.
cumulative_net_intake_7,0.46697174158962584,1.8315551762718687,5,Correlated features can divide or mask permutation importance.
apprehension_lag_7,0.42620303190150255,0.8288536896774947,5,Correlated features can divide or mask permutation importance.
calendar_month_sin,0.3613131721617151,1.0621978980898281,5,Correlated features can divide or mask permutation importance.
net_intake_lag_28,0.3265896099720436,0.5976596386823746,5,Correlated features can divide or mask permutation importance.
net_intake_lag_1,0.2711754528365759,0.4853363711383471,5,Correlated features can divide or mask permutation importance.
load_rolling_std_7,0.25667553364293383,0.5555310379628312,5,Correlated features can divide or mask permutation importance.
calendar_month_cos,0.2379651530200988,0.33592759056510274,5,Correlated features can divide or mask permutation importance.
load_lag_7,0.19437572741496184,0.3887514548299236,5,Correlated features can divide or mask permutation importance.
net_intake_lag_7,0.18221732841424795,0.3971105273981731,5,Correlated features can divide or mask permutation importance.
apprehension_lag_28,0.13519443166921122,0.3538093495397884,5,Correlated features can divide or mask permutation importance.
transfer_lag_1,0.12088483156749703,0.23476837298246028,5,Correlated features can divide or mask permutation importance.
discharge_lag_14,0.10171439631172348,0.2667573738169602,5,Correlated features can divide or mask permutation importance.
apprehension_lag_1,0.085830901297021,0.171661802594042,5,Correlated features can divide or mask permutation importance.
discharge_lag_28,0.060670046651887334,0.1341786712887101,5,Correlated features can divide or mask permutation importance.
backlog_streak_at_origin,0.041331634767345804,0.08266326953469161,5,Correlated features can divide or mask permutation importance.
calendar_doy_sin,0.02342944673684997,0.0779472051877929,5,Correlated features can divide or mask permutation importance.
transfer_lag_7,0.02008682429573696,0.04017364859147392,5,Correlated features can divide or mask permutation importance.
cumulative_net_intake_14,0.019114521910890404,0.42360548905468637,5,Correlated features can divide or mask permutation importance.
calendar_dow_cos,0.00813339745486701,0.01626679490973402,5,Correlated features can divide or mask permutation importance.
discharge_lag_1,0.000196217447410163,0.000392434894820326,5,Correlated features can divide or mask permutation importance.
quality_is_imputed_date,0.0,0.0,5,Correlated features can divide or mask permutation importance.
calendar_dow_sin,-0.00023218419124759748,0.00046436838249519496,5,Correlated features can divide or mask permutation importance.
calendar_is_weekend,-0.0006178789681939634,0.0012357579363879267,5,Correlated features can divide or mask permutation importance.
transfer_lag_14,-0.01207401211925685,0.0241480242385137,5,Correlated features can divide or mask permutation importance.
discharge_lag_7,-0.031038978343161716,0.04150133187606649,5,Correlated features can divide or mask permutation importance.
quality_has_anomaly,-0.03801411717673773,0.07602823435347546,5,Correlated features can divide or mask permutation importance.
calendar_day_of_week,-0.045155622950215954,0.09031124590043191,5,Correlated features can divide or mask permutation importance.
net_intake_lag_14,-0.057486179608406476,0.11497235921681294,5,Correlated features can divide or mask permutation importance.
apprehension_lag_14,-0.061181579082887086,0.12236315816577416,5,Correlated features can divide or mask permutation importance.
load_lag_14,-0.0846934215563067,0.10511234365786414,5,Correlated features can divide or mask permutation importance.
load_lag_28,-0.1417129031450827,0.18912583049355047,5,Correlated features can divide or mask permutation importance.
