forecast_origin_date,target_date,model_name,actual,predicted,residual,absolute_error,day_of_week,month,forecast_load_band,net_intake_magnitude,backlog_state,capacity_utilization_band,anomaly_status,imputation_status,pressure_regime
2025-05-15,2025-05-22,validation_weighted_ensemble,2509.0,2492.1358373867906,16.864162613209373,16.864162613209373,Thursday,May,high,low,False,normal,normal,observed,normal
2025-05-16,2025-05-23,validation_weighted_ensemble,2513.0,2501.0365459753452,11.963454024654766,11.963454024654766,Friday,May,high,low,False,normal,normal,imputed,normal
2025-05-17,2025-05-24,validation_weighted_ensemble,2516.0,2510.236545975345,5.763454024654948,5.763454024654948,Saturday,May,high,low,False,normal,normal,imputed,normal
2025-05-18,2025-05-25,validation_weighted_ensemble,2521.0,2518.836545975345,2.1634540246550387,2.1634540246550387,Sunday,May,high,low,True,normal,normal,observed,high_pressure
2025-05-19,2025-05-26,validation_weighted_ensemble,2524.0,2536.0252917394946,-12.025291739494605,12.025291739494605,Monday,May,high,moderate,True,normal,normal,observed,high_pressure
2025-05-20,2025-05-27,validation_weighted_ensemble,2528.0,2574.4528646235567,-46.45286462355671,46.45286462355671,Tuesday,May,high,low,False,normal,normal,imputed,normal
2025-05-21,2025-05-28,validation_weighted_ensemble,2538.0,2611.4611840520533,-73.46118405205334,73.46118405205334,Wednesday,May,high,low,False,normal,normal,observed,normal
2025-05-22,2025-05-29,validation_weighted_ensemble,2544.0,2567.233611167991,-23.233611167991057,23.233611167991057,Thursday,May,high,low,True,normal,normal,observed,high_pressure
2025-05-23,2025-05-30,validation_weighted_ensemble,2546.0,2570.1277301023065,-24.127730102306487,24.127730102306487,Friday,May,high,low,False,normal,normal,imputed,normal
2025-05-24,2025-05-31,validation_weighted_ensemble,2550.0,2570.1277301023065,-20.127730102306487,20.127730102306487,Saturday,May,high,low,False,normal,normal,imputed,normal
2025-05-25,2025-06-01,validation_weighted_ensemble,2552.0,2573.3277301023068,-21.32773010230676,21.32773010230676,Sunday,May,high,low,False,normal,normal,imputed,normal
2025-05-26,2025-06-02,validation_weighted_ensemble,2537.0,2566.727730102307,-29.72773010230685,29.72773010230685,Monday,May,high,low,False,normal,normal,imputed,normal
2025-05-27,2025-06-03,validation_weighted_ensemble,2542.0,2559.9277301023067,-17.92773010230667,17.92773010230667,Tuesday,May,high,low,False,normal,normal,observed,normal
2025-05-28,2025-06-04,validation_weighted_ensemble,2532.0,2562.0816340225574,-30.08163402255741,30.08163402255741,Wednesday,May,high,low,False,normal,normal,observed,normal
2025-05-29,2025-06-05,validation_weighted_ensemble,2529.0,2583.727730102307,-54.72773010230685,54.72773010230685,Thursday,May,high,low,True,normal,normal,observed,high_pressure
2025-05-30,2025-06-06,validation_weighted_ensemble,2527.0,2583.776890122751,-56.776890122750956,56.776890122750956,Friday,May,high,low,False,normal,normal,imputed,normal
2025-05-31,2025-06-07,validation_weighted_ensemble,2525.0,2589.1277301023065,-64.12773010230649,64.12773010230649,Saturday,May,high,low,False,normal,normal,imputed,normal
2025-06-01,2025-06-08,validation_weighted_ensemble,2523.0,2590.545120622848,-67.54512062284812,67.54512062284812,Sunday,June,high,low,True,normal,normal,observed,high_pressure
2025-06-02,2025-06-09,validation_weighted_ensemble,2537.0,2561.294242783645,-24.29424278364513,24.29424278364513,Monday,June,high,moderate,False,normal,normal,observed,normal
2025-06-03,2025-06-10,validation_weighted_ensemble,2539.0,2567.6450827632007,-28.645082763200662,28.645082763200662,Tuesday,June,high,low,False,normal,normal,observed,normal
2025-06-04,2025-06-11,validation_weighted_ensemble,2540.0,2543.084499352951,-3.084499352950843,3.084499352950843,Wednesday,June,high,low,False,normal,normal,observed,normal
2025-06-05,2025-06-12,validation_weighted_ensemble,2541.0,2529.930332045503,11.069667954497163,11.069667954497163,Thursday,June,high,moderate,False,normal,normal,observed,normal
2025-06-06,2025-06-13,validation_weighted_ensemble,2542.0,2527.581476977226,14.418523022774025,14.418523022774025,Friday,June,high,low,False,normal,normal,imputed,normal
2025-06-07,2025-06-14,validation_weighted_ensemble,2544.0,2521.766493291769,22.233506708230834,22.233506708230834,Saturday,June,high,low,False,normal,normal,imputed,normal
2025-06-08,2025-06-15,validation_weighted_ensemble,2545.0,2517.366493291769,27.633506708230925,27.633506708230925,Sunday,June,high,low,True,normal,normal,observed,high_pressure
2025-06-09,2025-06-16,validation_weighted_ensemble,2546.0,2553.5095241191348,-7.509524119134767,7.509524119134767,Monday,June,high,low,True,normal,normal,observed,high_pressure
2025-06-10,2025-06-17,validation_weighted_ensemble,2547.0,2552.256842604439,-5.2568426044390435,5.2568426044390435,Tuesday,June,high,low,False,normal,normal,observed,normal
2025-06-11,2025-06-18,validation_weighted_ensemble,2534.0,2564.2572469383795,-30.257246938379467,30.257246938379467,Wednesday,June,high,low,False,normal,normal,imputed,normal
2025-06-12,2025-06-19,validation_weighted_ensemble,2520.0,2570.6903493409823,-50.690349340982266,50.690349340982266,Thursday,June,high,low,False,normal,normal,imputed,normal
2025-06-13,2025-06-20,validation_weighted_ensemble,2520.0,2574.436567623513,-54.43656762351293,54.43656762351293,Friday,June,high,low,False,normal,normal,imputed,normal
2025-06-14,2025-06-21,validation_weighted_ensemble,2521.0,2583.0841225822837,-62.084122582283726,62.084122582283726,Saturday,June,high,low,False,normal,normal,imputed,normal
2025-06-15,2025-06-22,validation_weighted_ensemble,2521.0,2585.884122582284,-64.88412258228391,64.88412258228391,Sunday,June,high,low,False,normal,normal,imputed,normal
